Name,m_tFriendlyName
'Gamepad_Left_Thumbstick_X-Axis',"Left Stick X"
"Gamepad_Left_Thumbstick_Y-Axis","Left Stick Y"
"Gamepad_Right_Thumbstick_X-Axis","Right Stick X"
"Gamepad_Right_Thumbstick_Y-Axis","Right Stick Y"
"Gamepad_D-pad_Up","Up"
"Gamepad_D-pad_Down","Down"
"Gamepad_D-pad_Right","Right"
"Gamepad_D-pad_Left","Left"
"Gamepad_Left_Thumbstick_Up","Left Stick Up"
"Gamepad_Left_Thumbstick_Down","Left Stick Down"
"Gamepad_Left_Thumbstick_Right","Left Stick Right"
"Gamepad_Left_Thumbstick_Left","Left Stick Left"
"Gamepad_Right_Thumbstick_Up","Right Stick Up"
"Gamepad_Right_Thumbstick_Down","Right Stick Down"
"Gamepad_Right_Thumbstick_Right","Right Stick Right"
"Gamepad_Right_Thumbstick_Left","Right Stick Left"
"Gamepad_Special_Left","Back"
"Gamepad_Special_Right","Start"
"Gamepad_Face_Button_Bottom","A"
"Gamepad_Face_Button_Right","B"
"Gamepad_Face_Button_Left","X"
"Gamepad_Face_Button_Top","Y"
"Gamepad_Left_Trigger_Axis","LT Axis"
"Gamepad_Right_Trigger_Axis","RT Axis"
"Gamepad_Left_Shoulder","LB"
"Gamepad_Right_Shoulder","RB"
"Gamepad_Left_Trigger","LT"
"Gamepad_Right_Trigger","RT"
"Gamepad_Left_Thumbstick_Button","Left Stick Pressed"
"Gamepad_Right_Thumbstick_Button","Right Stick Pressed"